Student_ID,Career,Domain,Raw_Fit_Score,Skill_Coverage,Adjusted_Fit_Score,Readiness,Top_Skill_Gaps,Top_Gap_Values,High_Priority_Gaps,Medium_Priority_Gaps,Recommendation,Career_Rank
1.0,Operations Analyst,Business & Management,85.73,75.0,85.73,Excellent Fit,"Excel, Data_Analysis, Problem_Solving, Projects, Business_Analysis","2.28, 1.88, 1.32, 1.0, 0.03",0,2,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
2.0,Operations Analyst,Business & Management,72.95,75.0,72.95,Strong Fit,"Data_Analysis, Excel, Problem_Solving, Communication, Business_Analysis","2.51, 2.46, 2.26, 2.0, 1.87",0,5,"Career is suitable, but improvement is recommended in: Data_Analysis, Excel, Problem_Solving",1
3.0,Risk Analyst,Finance & Accounting,78.9,87.5,78.9,Strong Fit,"Risk_Analysis, Communication, Excel, Financial_Analysis, Statistics","2.24, 2.0, 1.99, 1.83, 1.24",0,4,"Career is suitable, but improvement is recommended in: Risk_Analysis, Communication, Excel",1
4.0,Data Engineer,Technology & Data,98.55,100.0,98.55,Excellent Fit,"SQL, Database_Management, Problem_Solving","0.85, 0.33, 0.11",0,0,"Career is suitable, but improvement is recommended in: SQL, Database_Management, Problem_Solving",1
5.0,Risk Analyst,Finance & Accounting,92.2,87.5,92.2,Excellent Fit,"Communication, Excel, Risk_Analysis","3.0, 0.69, 0.28",1,0,"Career is suitable, but improvement is recommended in: Communication, Excel, Risk_Analysis",1
6.0,Credit Analyst,Finance & Accounting,75.2,87.5,75.2,Strong Fit,"Communication, Risk_Analysis, Excel, Financial_Analysis, Problem_Solving","3.0, 2.6, 2.35, 2.07, 1.6",1,4,"Career is suitable, but improvement is recommended in: Communication, Risk_Analysis, Excel",1
7.0,Risk Analyst,Finance & Accounting,83.11,87.5,83.11,Strong Fit,"Communication, Excel, Risk_Analysis, Financial_Analysis, Statistics","3.0, 1.77, 1.52, 1.35, 0.52",1,2,"Career is suitable, but improvement is recommended in: Communication, Excel, Risk_Analysis",1
8.0,Data Engineer,Technology & Data,87.21,100.0,87.21,Excellent Fit,"SQL, Database_Management, Problem_Solving, Data_Pipelines, ETL","2.2, 2.17, 1.88, 1.17, 1.17",0,3,"Career is suitable, but improvement is recommended in: SQL, Database_Management, Problem_Solving",1
9.0,Graphic Designer,Design & Creative,80.49,100.0,80.49,Strong Fit,"Portfolio, Visual_Design, Creativity, Adobe_Tools, Projects","2.33, 2.27, 2.17, 1.33, 1.33",0,3,"Career is suitable, but improvement is recommended in: Portfolio, Visual_Design, Creativity",1
10.0,Operations Analyst,Business & Management,85.97,75.0,85.97,Excellent Fit,"Communication, Excel, Business_Analysis, Data_Analysis, Problem_Solving","3.0, 1.02, 0.88, 0.78, 0.5",1,0,"Career is suitable, but improvement is recommended in: Communication, Excel, Business_Analysis",1
11.0,Accountant,Finance & Accounting,84.07,100.0,84.07,Strong Fit,"Financial_Reporting, Accounting, Excel, Taxation, Communication","2.91, 2.37, 2.2, 1.37, 1.0",0,3,"Career is suitable, but improvement is recommended in: Financial_Reporting, Accounting, Excel",1
13.0,Operations Analyst,Business & Management,97.62,75.0,97.62,Excellent Fit,Communication,1.0,0,0,"Career is suitable, but improvement is recommended in: Communication",1
14.0,Data Scientist,Technology & Data,89.21,100.0,89.21,Excellent Fit,"Communication, Data_Visualization, Python, Machine_Learning, Problem_Solving","2.0, 1.67, 1.0, 0.89, 0.81",0,2,"Career is suitable, but improvement is recommended in: Communication, Data_Visualization, Python",1
15.0,Data Scientist,Technology & Data,98.24,100.0,98.24,Excellent Fit,"Statistics, Problem_Solving, Machine_Learning","0.67, 0.67, 0.07",0,0,"Career is suitable, but improvement is recommended in: Statistics, Problem_Solving, Machine_Learning",1
16.0,Operations Analyst,Business & Management,84.08,75.0,84.08,Strong Fit,"Communication, Problem_Solving, Data_Analysis, Excel, Business_Analysis","2.0, 1.49, 1.43, 1.2, 1.08",0,1,"Career is suitable, but improvement is recommended in: Communication, Problem_Solving, Data_Analysis",1
18.0,Risk Analyst,Finance & Accounting,89.78,87.5,89.78,Excellent Fit,"Excel, Risk_Analysis, Financial_Analysis, Communication, Statistics","1.92, 1.17, 1.11, 1.0, 0.17",0,1,"Career is suitable, but improvement is recommended in: Excel, Risk_Analysis, Financial_Analysis",1
19.0,Operations Analyst,Business & Management,89.97,75.0,89.97,Excellent Fit,"Problem_Solving, Data_Analysis, Excel, Business_Analysis","1.58, 1.5, 1.15, 0.51",0,2,"Career is suitable, but improvement is recommended in: Problem_Solving, Data_Analysis, Excel",1
21.0,Data Analyst,Technology & Data,85.04,100.0,85.04,Excellent Fit,"Excel, SQL, Data_Visualization, Business_Analysis, Projects","2.42, 2.1, 2.0, 1.73, 1.0",0,4,"Career is suitable, but improvement is recommended in: Excel, SQL, Data_Visualization",1
22.0,Data Engineer,Technology & Data,96.59,100.0,96.59,Excellent Fit,"SQL, Database_Management, Problem_Solving","1.35, 0.83, 0.79",0,0,"Career is suitable, but improvement is recommended in: SQL, Database_Management, Problem_Solving",1
23.0,Data Analyst,Technology & Data,93.74,100.0,93.74,Excellent Fit,"Excel, Data_Visualization, SQL, Business_Analysis","1.31, 1.17, 1.15, 0.88",0,0,"Career is suitable, but improvement is recommended in: Excel, Data_Visualization, SQL",1
24.0,Operations Analyst,Business & Management,98.19,75.0,98.19,Excellent Fit,"Excel, Data_Analysis","0.58, 0.29",0,0,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis",1
25.0,Data Engineer,Technology & Data,95.69,100.0,95.69,Excellent Fit,"SQL, Problem_Solving, Database_Management","1.7, 1.2, 0.83",0,1,"Career is suitable, but improvement is recommended in: SQL, Problem_Solving, Database_Management",1
26.0,Data Scientist,Technology & Data,95.5,100.0,95.5,Excellent Fit,"Python, Communication, Statistics, Problem_Solving, Data_Visualization","1.0, 1.0, 0.35, 0.35, 0.33",0,0,"Career is suitable, but improvement is recommended in: Python, Communication, Statistics",1
27.0,Data Scientist,Technology & Data,70.55,100.0,70.55,Strong Fit,"Statistics, Problem_Solving, Internship, Machine_Learning, Python","3.37, 3.37, 2.67, 2.65, 2.0",2,7,"Career is suitable, but improvement is recommended in: Statistics, Problem_Solving, Internship",1
28.0,Operations Analyst,Business & Management,74.34,75.0,74.34,Strong Fit,"Excel, Data_Analysis, Problem_Solving, Business_Analysis, Communication","2.79, 2.72, 2.58, 1.53, 1.0",0,4,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
29.0,Risk Analyst,Finance & Accounting,78.6,87.5,78.6,Strong Fit,"Communication, Excel, Risk_Analysis, Financial_Analysis, Statistics","4.0, 2.06, 1.76, 1.51, 0.76",1,3,"Career is suitable, but improvement is recommended in: Communication, Excel, Risk_Analysis",1
30.0,Credit Analyst,Finance & Accounting,85.22,87.5,85.22,Excellent Fit,"Communication, Risk_Analysis, Financial_Analysis, Financial_Reporting, Excel","3.0, 1.72, 0.92, 0.82, 0.74",1,1,"Career is suitable, but improvement is recommended in: Communication, Risk_Analysis, Financial_Analysis",1
31.0,Renewable Energy Analyst,Environment & Sustainability,90.47,57.14285714285714,81.42,Strong Fit,"Data_Analysis, Problem_Solving, Research","1.1, 0.99, 0.96",0,0,"Career is suitable, but improvement is recommended in: Data_Analysis, Problem_Solving, Research",1
32.0,Data Analyst,Technology & Data,81.74,100.0,81.74,Strong Fit,"Excel, SQL, Data_Visualization, Business_Analysis, Statistics","2.72, 2.45, 2.0, 1.97, 1.17",0,4,"Career is suitable, but improvement is recommended in: Excel, SQL, Data_Visualization",1
33.0,Operations Analyst,Business & Management,92.1,75.0,92.1,Excellent Fit,"Data_Analysis, Problem_Solving, Excel, Business_Analysis","1.22, 1.17, 1.13, 0.24",0,0,"Career is suitable, but improvement is recommended in: Data_Analysis, Problem_Solving, Excel",1
34.0,Operations Analyst,Business & Management,92.07,75.0,92.07,Excellent Fit,"Data_Analysis, Problem_Solving, Excel, Business_Analysis","1.33, 1.33, 1.1, 0.04",0,0,"Career is suitable, but improvement is recommended in: Data_Analysis, Problem_Solving, Excel",1
35.0,Tax Consultant,Finance & Accounting,92.86,85.71428571428571,92.86,Excellent Fit,Communication,3.0,1,0,"Career is suitable, but improvement is recommended in: Communication",1
36.0,Credit Analyst,Finance & Accounting,77.36,87.5,77.36,Strong Fit,"Communication, Excel, Risk_Analysis, Financial_Analysis, Financial_Reporting","3.0, 2.25, 2.25, 1.83, 1.27",1,3,"Career is suitable, but improvement is recommended in: Communication, Excel, Risk_Analysis",1
37.0,Operations Analyst,Business & Management,87.32,75.0,87.32,Excellent Fit,"Problem_Solving, Data_Analysis, Excel, Communication, Business_Analysis","1.46, 1.42, 1.33, 1.0, 0.64",0,0,"Career is suitable, but improvement is recommended in: Problem_Solving, Data_Analysis, Excel",1
