Career,Students,Average_Fit_Score,Average_Skill_Coverage
Management Consultant,7,100.0,100.0
AI Engineer,1737,94.5971272308578,87.5
Machine Learning Engineer,4048,92.73725049407115,100.0
Data Engineer,5606,92.59030859793079,100.0
Software Developer,940,91.85441489361702,100.0
Product Designer,3098,90.15759845061329,87.5
Clinical Research Associate,16,90.0,57.14285714285714
Data Scientist,10196,89.92300019615536,100.0
Tax Consultant,4242,89.12412305516267,85.71428571428571
Graphic Designer,5309,89.11406291203616,100.0
Accountant,2515,87.47463618290259,100.0
UI/UX Designer,539,87.45487940630798,100.0
Business Analyst,348,86.59672413793103,100.0
Digital Marketing Specialist,291,86.4225085910653,100.0
ESG Analyst,161,86.26304347826087,57.142857142857146
Market Research Analyst,15,85.46000000000001,62.5
Operations Analyst,35826,85.08173616926254,75.0
Data Analyst,8513,84.7201973452367,100.0
Cybersecurity Analyst,4297,84.681217128229,55.55555555555556
Credit Analyst,25682,84.42139903434312,87.5
Clinical Data Analyst,612,83.4373366013072,57.142857142857146
QA Engineer,2230,83.17722421524664,62.5
Risk Analyst,23520,83.1249706632653,87.5
Financial Analyst,2776,82.8157492795389,100.0
Instructional Designer,1501,82.7019786808794,100.0
Social Media Manager,2086,81.79192233940557,100.0
Video Editor,5,81.782,57.14285714285713
SEO Specialist,6558,81.54977737114973,87.5
Lab Analyst,3431,80.78554940250655,57.14285714285714
Sustainability Analyst,936,80.09357905982905,57.14285714285714
Renewable Energy Analyst,17113,79.87626658096184,57.14285714285714
Motion Designer,472,79.50478813559323,62.5
Compliance Analyst,994,79.30460764587525,57.14285714285714
Investment Analyst,101,79.10485148514852,100.0
Content Strategist,905,78.73287292817679,100.0
Medical Research Assistant,2902,77.6136905582357,57.14285714285714
Research Analyst,9747,77.29472555658151,100.0
Healthcare Analyst,7388,77.14380887926366,57.14285714285714
Environmental Analyst,5426,76.83826760044232,71.42857142857143
HR Analyst,19279,76.7485932880336,62.5
Project Manager,75,75.3356,100.0
Education Content Developer,300,74.864,100.0
Research Scientist,110,74.31263636363637,100.0
Operations Manager,234,72.29051282051282,75.0
Environmental Consultant,406,72.03142857142858,71.42857142857143
Teacher,2031,70.46739044805514,100.0
Brand Manager,77,68.81493506493507,62.5
Public Relations Specialist,259,67.63324324324324,71.42857142857143
Corporate Trainer,58,64.42068965517241,71.42857142857143
Healthcare Administrator,82,59.332317073170735,57.14285714285714
